fecha,allsky_sfc_sw_dwn,clrsky_sfc_sw_dwn,t2m
2001-05-08,2.3554,7.476,19.67
2001-05-09,3.917,7.4724,20.25
2001-05-10,5.7408,7.6094,20.14
2001-05-11,5.6969,7.529,21.64
2001-05-12,5.8282,7.4959,21.73
2001-05-13,4.751,7.1057,21.72
2001-05-14,5.8109,7.4014,21.23
2001-05-15,4.9534,7.3248,20.64
2001-05-16,4.3426,7.4522,19.82
2001-05-17,6.4591,7.542,21.01
2001-05-18,5.7218,7.253,21.7
2001-05-19,4.8922,7.2156,20.58
2001-05-20,5.6249,7.0382,20.52
2001-05-21,2.6736,7.217,18.96
2001-05-22,5.1881,7.2046,20.31
2001-05-23,6.3922,7.3723,19.73
2001-05-24,4.3109,7.1882,19.73
2001-05-25,6.1867,7.1878,19.08
2001-05-26,3.8004,7.2624,19.87
2001-05-27,4.9402,7.2254,19.49
2001-05-28,5.9717,7.2442,19.99
2001-05-29,6.3622,7.2965,20.42
2001-05-30,6.1073,7.1174,20.41
2001-05-31,5.4293,7.249,20.23
2001-06-01,3.036,7.2456,19.2
2001-06-02,3.1894,7.2941,18.45
2001-06-03,4.6634,7.3092,19.8
2001-06-04,5.6825,7.1851,19.5
2001-06-05,5.5819,7.1333,19.86
2001-06-06,5.5267,7.061,20.21
2001-06-07,5.784,7.1846,20.53
2001-06-08,6.6619,7.3234,20.61
2001-06-09,6.1423,7.1554,20.91
2001-06-10,5.8502,7.169,21.12
2001-06-11,5.526,7.2622,20.38
2001-06-12,4.7798,7.1726,19.46
2001-06-13,5.3652,7.2842,19.32
2001-06-14,4.0166,7.0795,20.21
2001-06-15,5.9342,7.0214,19.88
2001-06-16,4.3826,7.2286,20.38
2001-06-17,5.3837,7.3265,20.71
2001-06-18,6.2885,7.289,20.9
2001-06-19,5.298,7.2372,20.38
2001-06-20,5.2409,7.2871,20.63
2001-06-21,5.9345,7.1539,20.61
2001-06-22,6.2429,7.1419,20.62
2001-06-23,5.1624,7.0819,21.12
2001-06-24,4.9406,7.135,20.35
2001-06-25,6.1745,7.1546,21.41
2001-06-26,6.9785,7.3046,22.88
2001-06-27,5.7883,7.1575,22.69
2001-06-28,5.8483,7.0334,22.1
2001-06-29,4.344,7.0958,21.4
2001-06-30,4.8919,7.1052,20.46
2001-07-01,4.9831,7.117,21.49
2001-07-02,5.6138,7.1323,22.34
2001-07-03,6.1918,7.1549,22.75
2001-07-04,5.7946,7.2154,23.27
2001-07-05,5.5174,7.0498,22.27
2001-07-06,5.0705,7.0958,22.18
2001-07-07,6.1829,7.0817,22.63
2001-07-08,4.9262,6.9948,20.29
2001-07-09,4.9262,7.1186,20.45
2001-07-10,4.6985,7.0514,21.13
2001-07-11,5.2531,7.123,20.86
2001-07-12,5.6026,7.2,21.29
2001-07-13,6.0204,7.1573,21.85
2001-07-14,4.5878,7.0697,21.0
2001-07-15,2.5241,7.272,20.68
2001-07-16,6.1493,7.38,20.5
2001-07-17,5.3278,7.0963,21.41
2001-07-18,6.6168,7.2418,21.28
2001-07-19,4.5427,7.2787,20.52
2001-07-20,5.4818,7.193,20.24
2001-07-21,5.387,7.3085,21.38
2001-07-22,4.8274,7.3174,20.55
2001-07-23,5.4641,7.2334,20.86
2001-07-24,6.6101,7.2888,21.29
2001-07-25,6.6504,7.4455,21.43
2001-07-26,4.1971,7.2564,20.38
2001-07-27,5.7922,7.3774,19.99
2001-07-28,4.9522,7.3303,20.26
2001-07-29,6.3468,7.3042,21.02
2001-07-30,3.5491,7.1362,21.59
2001-07-31,5.3429,6.9917,21.61
2001-08-01,6.3242,7.2696,22.38
2001-08-02,6.1702,7.3099,22.7
2001-08-03,6.1531,7.2067,22.49
2001-08-04,5.2289,7.3694,21.34
2001-08-05,5.0868,7.1234,21.47
2001-08-06,5.7962,7.3222,22.16
2001-08-07,5.4377,7.296,22.42
2001-08-08,5.6364,7.1909,22.42
2001-08-09,6.4642,7.2463,22.33
2001-08-10,6.4006,7.3524,22.72
2001-08-11,5.7451,7.3226,22.81
2001-08-12,6.5525,7.368,23.45
2001-08-13,5.305,7.2864,22.46
2001-08-14,5.369,7.1827,22.67
2001-08-15,4.5924,7.0378,23.71
2001-08-16,5.7763,7.1062,24.42
2001-08-17,5.7463,7.1184,24.33
2001-08-18,5.7866,7.1988,24.81
2001-08-19,4.9658,7.1366,24.45
2001-08-20,6.2688,7.339,23.93
2001-08-21,6.1368,7.361,23.15
2001-08-22,5.4895,7.2492,22.8
2001-08-23,5.7245,7.0174,22.78
2001-08-24,6.4416,7.2391,22.98
2001-08-25,5.479,7.1796,22.2
2001-08-26,5.4086,7.3354,21.71
2001-08-27,6.8551,7.4861,22.24
2001-08-28,6.0067,7.3886,23.04
2001-08-29,6.3559,7.4666,23.07
2001-08-30,7.2514,7.5523,23.82
2001-08-31,6.4471,7.3764,23.96
2001-09-01,5.5807,7.1928,21.34
2001-09-02,4.3982,7.2986,20.66
2001-09-03,5.0858,7.2691,23.24
2001-09-04,5.7074,7.3745,22.68
2001-09-05,4.9217,7.4623,23.41
2001-09-06,4.9212,7.3656,22.65
2001-09-07,6.1526,7.5132,21.83
2001-09-08,5.538,7.4753,21.46
2001-09-09,5.4422,7.5974,20.46
2001-09-10,5.5202,7.4556,21.33
2001-09-11,6.0497,7.3147,21.23
2001-09-12,3.1346,7.3315,20.73
2001-09-13,3.9926,7.5216,20.45
2001-09-14,3.313,7.4472,20.46
2001-09-15,6.0206,7.4206,20.23
2001-09-16,7.2833,7.6642,21.75
2001-09-17,6.4855,7.5617,21.85
2001-09-18,4.7539,7.4244,18.59
2001-09-19,4.6632,7.4846,20.43
2001-09-20,5.1943,7.2509,18.74
2001-09-21,5.4989,7.4657,20.14
2001-09-22,4.8422,7.3742,19.99
2001-09-23,4.9975,7.489,20.68
2001-09-24,6.1814,7.5775,20.94
2001-09-25,6.3638,7.4376,21.16
2001-09-26,5.4348,7.4563,20.5
2001-09-27,4.6013,7.3224,20.6
2001-09-28,5.215,7.4729,20.47
2001-09-29,5.5423,7.2912,20.89
2001-09-30,3.4853,7.5163,20.65
2001-10-01,5.5356,7.583,20.18
2001-10-02,6.0626,7.4945,21.93
2001-10-03,5.981,7.3114,22.3
2001-10-04,5.7648,7.151,22.0
2001-10-05,6.0814,7.2682,21.25
2001-10-06,5.4653,7.271,20.67
2001-10-07,5.5999,7.3258,20.19
2001-10-08,5.8354,7.4131,21.68
2001-10-09,5.4768,7.2946,21.2
2001-10-10,3.8892,7.1647,20.11
2001-10-11,5.4024,7.1839,19.95
2001-10-12,5.3117,7.1095,21.32
2001-10-13,4.1549,7.157,22.07
2001-10-14,3.9725,7.2108,20.39
2001-10-15,5.1809,7.2754,20.83
2001-10-16,2.9854,7.4275,19.23
2001-10-17,3.7066,7.3255,19.6
2001-10-18,4.1899,7.127,20.04
2001-10-19,5.2661,7.1054,20.28
2001-10-20,5.1598,7.2413,19.79
2001-10-21,5.227,7.1323,20.24
2001-10-22,5.0758,7.1388,20.2
2001-10-23,3.8006,6.9682,19.45
2001-10-24,4.2468,7.0709,20.24
2001-10-25,5.2934,7.0123,20.46
